,state,date,Gst ( goods and service tax ) payers registered,Payer eligible for gst ( goods and service tax ) registration,Gst ( goods and service tax ) return type
3209,karnataka,2021-03-01,736774.0,765317.0,GSTR-3
3210,karnataka,2021-04-01,540882.0,592417.0,GSTR-1
3211,karnataka,2021-04-01,564273.0,592417.0,GSTR-3
3212,karnataka,2021-05-01,540181.0,593173.0,GSTR-1
3213,karnataka,2021-05-01,564467.0,593173.0,GSTR-3
3214,karnataka,2021-06-01,703649.0,768378.0,GSTR-1
3215,karnataka,2021-06-01,735369.0,768378.0,GSTR-3
3216,karnataka,2021-07-01,548802.0,601605.0,GSTR-1
3217,karnataka,2021-07-01,571012.0,601605.0,GSTR-3
3218,karnataka,2021-08-01,556139.0,609453.0,GSTR-1
3219,karnataka,2021-08-01,579615.0,609453.0,GSTR-3
3220,karnataka,2021-09-01,722959.0,790568.0,GSTR-1
3221,karnataka,2021-09-01,754340.0,790568.0,GSTR-3
3222,karnataka,2021-10-01,562628.0,617773.0,GSTR-1
3223,karnataka,2021-10-01,584656.0,617773.0,GSTR-3
3224,karnataka,2021-11-01,569668.0,624724.0,GSTR-1
3225,karnataka,2021-11-01,590331.0,624724.0,GSTR-3
3226,karnataka,2021-12-01,739253.0,810789.0,GSTR-1
3227,karnataka,2021-12-01,767067.0,810789.0,GSTR-3
3228,karnataka,2022-01-01,576588.0,633338.0,GSTR-1
3229,karnataka,2022-01-01,595298.0,633338.0,GSTR-3
3230,karnataka,2022-02-01,581971.0,640933.0,GSTR-1
3231,karnataka,2022-02-01,601155.0,640933.0,GSTR-3
3232,karnataka,2022-03-01,739086.0,830528.0,GSTR-1
3233,karnataka,2022-03-01,766314.0,830528.0,GSTR-3
3234,karnataka,2022-04-01,569949.0,650637.0,GSTR-1
3235,karnataka,2022-04-01,585848.0,650637.0,GSTR-3
3236,karnataka,2022-05-01,554515.0,656039.0,GSTR-1
3237,karnataka,2022-05-01,563009.0,656039.0,GSTR-3
3238,goa,2017-07-01,20446.0,22196.0,GSTR-1
3239,goa,2017-07-01,21722.0,22196.0,GSTR-3
3240,goa,2017-08-01,9551.0,10774.0,GSTR-1
3241,goa,2017-08-01,23171.0,23786.0,GSTR-3
3242,goa,2017-09-01,23445.0,25339.0,GSTR-1
3243,goa,2017-09-01,24423.0,25339.0,GSTR-3
3244,goa,2017-10-01,9977.0,11292.0,GSTR-1
3245,goa,2017-10-01,23984.0,25168.0,GSTR-3
3246,goa,2017-11-01,10241.0,11570.0,GSTR-1
3247,goa,2017-11-01,24485.0,25951.0,GSTR-3
3248,goa,2017-12-01,24180.0,26231.0,GSTR-1
3249,goa,2017-12-01,24674.0,26231.0,GSTR-3
3250,goa,2018-02-01,25409.0,27195.0,GSTR-3
3251,goa,2018-03-01,25119.0,27578.0,GSTR-1
3252,goa,2018-03-01,25703.0,27578.0,GSTR-3
3253,goa,2018-04-01,10453.0,16168.0,GSTR-1
3254,goa,2018-04-01,25770.0,27947.0,GSTR-3
3255,goa,2018-05-01,10531.0,16758.0,GSTR-1
3256,goa,2018-05-01,26132.0,28752.0,GSTR-3
3257,goa,2018-06-01,25840.0,29346.0,GSTR-1
3258,goa,2018-06-01,26470.0,29346.0,GSTR-3
3259,goa,2018-07-01,10794.0,16933.0,GSTR-1
3260,goa,2018-07-01,26821.0,29813.0,GSTR-3
3261,goa,2018-08-01,10906.0,16723.0,GSTR-1
3262,goa,2018-08-01,27171.0,30274.0,GSTR-3
3263,goa,2018-09-01,26747.0,30576.0,GSTR-1
3264,goa,2018-09-01,27436.0,30576.0,GSTR-3
3265,goa,2018-10-01,11068.0,16399.0,GSTR-1
3266,goa,2018-10-01,27704.0,30975.0,GSTR-3
3267,goa,2018-11-01,11162.0,16366.0,GSTR-1
3268,goa,2018-11-01,27896.0,31465.0,GSTR-3
3269,goa,2018-12-01,27578.0,31956.0,GSTR-1
3270,goa,2018-12-01,28237.0,31956.0,GSTR-3
3271,goa,2019-01-01,28612.0,32499.0,GSTR-3
3272,goa,2019-02-01,11369.0,16105.0,GSTR-1
3273,goa,2019-02-01,28858.0,32886.0,GSTR-3
3274,goa,2019-03-01,28058.0,33254.0,GSTR-1
3275,goa,2019-03-01,29048.0,33254.0,GSTR-3
3276,goa,2019-04-01,11758.0,21309.0,GSTR-1
3277,goa,2019-04-01,28547.0,33353.0,GSTR-3
3278,goa,2019-05-01,28673.0,33480.0,GSTR-3
3279,goa,2019-06-01,28195.0,33757.0,GSTR-1
3280,goa,2019-06-01,28800.0,33757.0,GSTR-3
3281,goa,2019-07-01,11911.0,19308.0,GSTR-1
3282,goa,2019-07-01,29016.0,34090.0,GSTR-3
3283,goa,2019-08-01,11963.0,18815.0,GSTR-1
3284,goa,2019-08-01,29143.0,34201.0,GSTR-3
3285,goa,2019-09-01,28641.0,34397.0,GSTR-1
3286,goa,2019-09-01,29306.0,34397.0,GSTR-3
3287,goa,2019-10-01,12126.0,18492.0,GSTR-1
3288,goa,2019-10-01,29553.0,34642.0,GSTR-3
3289,goa,2019-11-01,12191.0,18104.0,GSTR-1
3290,goa,2019-11-01,29727.0,34765.0,GSTR-3
3291,goa,2019-12-01,29157.0,35044.0,GSTR-1
3292,goa,2019-12-01,30011.0,35044.0,GSTR-3
3293,goa,2020-01-01,12291.0,17705.0,GSTR-1
3294,goa,2020-01-01,30235.0,35365.0,GSTR-3
3295,goa,2020-02-01,12293.0,17648.0,GSTR-1
3296,goa,2020-02-01,30468.0,35756.0,GSTR-3
3297,goa,2020-03-01,29232.0,36052.0,GSTR-1
3298,goa,2020-03-01,30508.0,36052.0,GSTR-3
3299,goa,2020-04-01,29958.0,36015.0,GSTR-3
3300,goa,2020-05-01,12877.0,32261.0,GSTR-1
3301,goa,2020-05-01,30013.0,35551.0,GSTR-3
3302,goa,2020-06-01,29285.0,35630.0,GSTR-1
3303,goa,2020-06-01,30171.0,35630.0,GSTR-3
3304,goa,2020-07-01,12996.0,23074.0,GSTR-1
3305,goa,2020-07-01,30279.0,35883.0,GSTR-3
3306,goa,2020-08-01,30440.0,36112.0,GSTR-3
3307,goa,2020-09-01,29541.0,36289.0,GSTR-1
3308,goa,2020-09-01,30502.0,36289.0,GSTR-3
3309,goa,2020-10-01,13218.0,20568.0,GSTR-1
3310,goa,2020-10-01,30707.0,36624.0,GSTR-3
3311,goa,2020-11-01,13315.0,20258.0,GSTR-1
3312,goa,2020-11-01,30912.0,36792.0,GSTR-3
3313,goa,2020-12-01,30246.0,36918.0,GSTR-1
3314,goa,2020-12-01,31132.0,36918.0,GSTR-3
3315,goa,2021-01-01,17239.0,23527.0,GSTR-1
3316,goa,2021-01-01,18156.0,23509.0,GSTR-3
3317,goa,2021-02-01,17407.0,22628.0,GSTR-1
3318,goa,2021-02-01,18307.0,22626.0,GSTR-3
3319,goa,2021-03-01,30597.0,35459.0,GSTR-1
3320,goa,2021-03-01,31382.0,35459.0,GSTR-3
3321,goa,2021-04-01,19499.0,24272.0,GSTR-1
3322,goa,2021-04-01,20053.0,24272.0,GSTR-3
3323,goa,2021-05-01,19525.0,24257.0,GSTR-1
3324,goa,2021-05-01,20053.0,24257.0,GSTR-3
3325,goa,2021-06-01,30530.0,35597.0,GSTR-1
3326,goa,2021-06-01,31153.0,35597.0,GSTR-3
3327,goa,2021-07-01,19488.0,24050.0,GSTR-1
3328,goa,2021-07-01,19934.0,24050.0,GSTR-3
3329,goa,2021-08-01,19584.0,24263.0,GSTR-1
3330,goa,2021-08-01,20110.0,24263.0,GSTR-3
3331,goa,2021-09-01,30644.0,36018.0,GSTR-1
3332,goa,2021-09-01,31366.0,36018.0,GSTR-3
3333,goa,2021-10-01,19280.0,24216.0,GSTR-1
3334,goa,2021-10-01,19717.0,24216.0,GSTR-3
3335,goa,2021-11-01,19511.0,24425.0,GSTR-1
3336,goa,2021-11-01,19908.0,24425.0,GSTR-3
3337,goa,2021-12-01,30844.0,36434.0,GSTR-1
3338,goa,2021-12-01,31475.0,36434.0,GSTR-3
3339,goa,2022-01-01,19343.0,24471.0,GSTR-1
3340,goa,2022-01-01,19723.0,24471.0,GSTR-3
3341,goa,2022-02-01,19419.0,24769.0,GSTR-1
3342,goa,2022-02-01,19779.0,24769.0,GSTR-3
3343,goa,2022-03-01,30149.0,37269.0,GSTR-1
3344,goa,2022-03-01,30605.0,37269.0,GSTR-3
3345,goa,2022-04-01,18451.0,25038.0,GSTR-1
3346,goa,2022-04-01,18649.0,25038.0,GSTR-3
3347,goa,2022-05-01,17688.0,25302.0,GSTR-1
3348,goa,2022-05-01,17631.0,25302.0,GSTR-3
3349,lakshadweep,2017-07-01,65.0,90.0,GSTR-1
3350,lakshadweep,2017-07-01,74.0,90.0,GSTR-3
3351,lakshadweep,2017-08-01,67.0,152.0,GSTR-1
3352,lakshadweep,2017-08-01,170.0,220.0,GSTR-3
3353,lakshadweep,2017-09-01,151.0,258.0,GSTR-1
3354,lakshadweep,2017-09-01,183.0,258.0,GSTR-3
3355,lakshadweep,2019-08-01,172.0,229.0,GSTR-3
3356,lakshadweep,2019-09-01,167.0,229.0,GSTR-1
3357,lakshadweep,2019-09-01,172.0,229.0,GSTR-3
3358,lakshadweep,2019-10-01,90.0,179.0,GSTR-1
3359,lakshadweep,2019-10-01,178.0,235.0,GSTR-3
3360,lakshadweep,2019-11-01,92.0,178.0,GSTR-1
3361,lakshadweep,2019-11-01,182.0,241.0,GSTR-3
3362,lakshadweep,2019-12-01,178.0,247.0,GSTR-1
3363,lakshadweep,2019-12-01,188.0,247.0,GSTR-3
3364,lakshadweep,2020-01-01,94.0,180.0,GSTR-1
3365,lakshadweep,2020-01-01,191.0,250.0,GSTR-3
3366,lakshadweep,2020-02-01,96.0,181.0,GSTR-1
3367,lakshadweep,2020-02-01,193.0,253.0,GSTR-3
3368,lakshadweep,2020-03-01,184.0,261.0,GSTR-1
3369,lakshadweep,2020-03-01,200.0,261.0,GSTR-3
3370,lakshadweep,2020-04-01,113.0,261.0,GSTR-1
3371,lakshadweep,2020-04-01,199.0,261.0,GSTR-3
3372,lakshadweep,2020-05-01,112.0,248.0,GSTR-1
3373,lakshadweep,2020-05-01,198.0,261.0,GSTR-3
3374,lakshadweep,2020-06-01,194.0,266.0,GSTR-1
3375,lakshadweep,2020-06-01,203.0,266.0,GSTR-3
3376,lakshadweep,2020-07-01,115.0,232.0,GSTR-1
3377,lakshadweep,2020-07-01,207.0,273.0,GSTR-3
3378,lakshadweep,2020-08-01,118.0,238.0,GSTR-1
3379,lakshadweep,2020-08-01,216.0,282.0,GSTR-3
3380,lakshadweep,2020-09-01,206.0,289.0,GSTR-1
3381,lakshadweep,2020-09-01,220.0,289.0,GSTR-3
3382,lakshadweep,2020-10-01,122.0,226.0,GSTR-1
3383,lakshadweep,2020-10-01,217.0,289.0,GSTR-3
3384,lakshadweep,2020-11-01,126.0,223.0,GSTR-1
3385,lakshadweep,2020-11-01,219.0,287.0,GSTR-3
3386,lakshadweep,2020-12-01,205.0,275.0,GSTR-1
3387,lakshadweep,2020-12-01,220.0,275.0,GSTR-3
3388,lakshadweep,2021-01-01,163.0,225.0,GSTR-1
3389,lakshadweep,2021-01-01,173.0,225.0,GSTR-3
3390,lakshadweep,2021-02-01,165.0,222.0,GSTR-1
3391,lakshadweep,2021-02-01,178.0,223.0,GSTR-3
3392,lakshadweep,2021-03-01,212.0,272.0,GSTR-1
3393,lakshadweep,2021-03-01,225.0,272.0,GSTR-3
3394,lakshadweep,2021-04-01,166.0,196.0,GSTR-1
3395,lakshadweep,2021-04-01,176.0,196.0,GSTR-3
3396,lakshadweep,2021-05-01,160.0,195.0,GSTR-1
3397,lakshadweep,2021-05-01,171.0,195.0,GSTR-3
3398,lakshadweep,2021-06-01,201.0,238.0,GSTR-1
3399,lakshadweep,2021-06-01,213.0,238.0,GSTR-3
3400,lakshadweep,2021-07-01,156.0,197.0,GSTR-1
3401,lakshadweep,2021-07-01,169.0,197.0,GSTR-3
3402,lakshadweep,2021-08-01,157.0,196.0,GSTR-1
3403,lakshadweep,2021-08-01,170.0,196.0,GSTR-3
3404,lakshadweep,2021-09-01,198.0,243.0,GSTR-1
3405,lakshadweep,2021-09-01,211.0,243.0,GSTR-3
3406,lakshadweep,2021-10-01,152.0,192.0,GSTR-1
3407,lakshadweep,2021-10-01,162.0,192.0,GSTR-3
3408,lakshadweep,2021-11-01,155.0,170.0,GSTR-1
3409,lakshadweep,2021-11-01,162.0,170.0,GSTR-3
3410,lakshadweep,2021-12-01,196.0,218.0,GSTR-1
3411,lakshadweep,2021-12-01,204.0,218.0,GSTR-3
3412,lakshadweep,2022-01-01,155.0,174.0,GSTR-1
3413,lakshadweep,2022-01-01,161.0,174.0,GSTR-3
3414,lakshadweep,2022-02-01,153.0,172.0,GSTR-1
3415,lakshadweep,2022-02-01,160.0,172.0,GSTR-3
3416,lakshadweep,2022-03-01,185.0,228.0,GSTR-1
3417,lakshadweep,2022-03-01,193.0,228.0,GSTR-3
3418,lakshadweep,2022-04-01,141.0,178.0,GSTR-1
3419,lakshadweep,2022-04-01,147.0,178.0,GSTR-3
3420,lakshadweep,2022-05-01,132.0,176.0,GSTR-1
3421,lakshadweep,2022-05-01,138.0,176.0,GSTR-3
3422,kerala,2017-07-01,207074.0,215930.0,GSTR-1
3423,kerala,2017-07-01,215160.0,215930.0,GSTR-3
3424,kerala,2017-08-01,119368.0,127093.0,GSTR-1
3425,kerala,2017-08-01,225340.0,227531.0,GSTR-3
3426,kerala,2017-09-01,222069.0,233233.0,GSTR-1
3427,kerala,2017-09-01,231200.0,233233.0,GSTR-3
3428,kerala,2017-10-01,121252.0,127401.0,GSTR-1
3429,kerala,2017-10-01,223800.0,227665.0,GSTR-3
3430,kerala,2017-11-01,123521.0,129531.0,GSTR-1
3431,puducherry,2017-08-01,8402.0,9277.0,GSTR-1
3432,kerala,2017-11-01,226945.0,232586.0,GSTR-3
3433,kerala,2017-12-01,223999.0,234754.0,GSTR-1
3434,kerala,2017-12-01,228658.0,234754.0,GSTR-3
3435,kerala,2018-01-01,125232.0,132146.0,GSTR-1
3436,kerala,2018-01-01,231994.0,238699.0,GSTR-3
3437,kerala,2018-02-01,126345.0,133611.0,GSTR-1
3438,kerala,2018-02-01,235004.0,242006.0,GSTR-3
3439,kerala,2018-03-01,232927.0,245761.0,GSTR-1
3440,kerala,2018-03-01,238377.0,245761.0,GSTR-3
3441,kerala,2018-04-01,134741.0,164412.0,GSTR-1
3442,kerala,2018-04-01,238943.0,252153.0,GSTR-3
3443,kerala,2018-05-01,136650.0,169073.0,GSTR-1
3444,puducherry,2017-08-01,14882.0,15013.0,GSTR-3
3445,kerala,2018-05-01,243133.0,258924.0,GSTR-3
3446,kerala,2018-06-01,240715.0,263762.0,GSTR-1
3447,kerala,2018-06-01,246191.0,263762.0,GSTR-3
3448,kerala,2018-07-01,139652.0,173127.0,GSTR-1
3449,kerala,2018-07-01,249512.0,267922.0,GSTR-3
3450,kerala,2018-08-01,140668.0,173204.0,GSTR-1
3451,puducherry,2017-12-01,15468.0,15975.0,GSTR-3
3452,kerala,2018-08-01,252087.0,271146.0,GSTR-3
3453,kerala,2018-09-01,248488.0,273181.0,GSTR-1
3454,kerala,2018-09-01,254626.0,273181.0,GSTR-3
3455,kerala,2018-10-01,143155.0,172895.0,GSTR-1
3456,kerala,2018-10-01,257187.0,276472.0,GSTR-3
3457,kerala,2018-11-01,144110.0,173328.0,GSTR-1
3458,puducherry,2018-01-01,8972.0,9858.0,GSTR-1
3459,kerala,2018-11-01,258557.0,279758.0,GSTR-3
3460,kerala,2018-12-01,255024.0,281909.0,GSTR-1
3461,kerala,2018-12-01,260657.0,281909.0,GSTR-3
3462,kerala,2019-01-01,145981.0,172382.0,GSTR-1
3463,kerala,2019-01-01,262615.0,285037.0,GSTR-3
3464,kerala,2019-02-01,146417.0,172548.0,GSTR-1
3465,kerala,2019-02-01,264574.0,287794.0,GSTR-3
3466,kerala,2019-03-01,259591.0,291194.0,GSTR-1
3467,kerala,2019-03-01,267092.0,291194.0,GSTR-3
3468,kerala,2019-04-01,146017.0,202318.0,GSTR-1
3469,kerala,2019-04-01,263457.0,292296.0,GSTR-3
3470,kerala,2019-05-01,146745.0,195184.0,GSTR-1
3471,puducherry,2018-05-01,10468.0,14404.0,GSTR-1
3472,kerala,2019-05-01,265181.0,292465.0,GSTR-3
3473,kerala,2019-06-01,262048.0,295913.0,GSTR-1
3474,kerala,2019-06-01,266805.0,295913.0,GSTR-3
3475,kerala,2019-07-01,148730.0,189177.0,GSTR-1
3476,kerala,2019-07-01,269356.0,298709.0,GSTR-3
3477,kerala,2019-08-01,149787.0,187045.0,GSTR-1
3478,puducherry,2018-09-01,16366.0,20242.0,GSTR-1
3479,kerala,2019-08-01,271519.0,300746.0,GSTR-3
3480,kerala,2019-09-01,267706.0,301836.0,GSTR-1
3481,kerala,2019-09-01,272882.0,301836.0,GSTR-3
3482,kerala,2019-10-01,151843.0,184754.0,GSTR-1
3483,kerala,2019-10-01,275055.0,303421.0,GSTR-3
3484,kerala,2019-11-01,153507.0,180486.0,GSTR-1
3485,andaman and nicobar islands,2017-07-01,2172.0,2489.0,GSTR-3
3486,kerala,2019-11-01,277305.0,303850.0,GSTR-3
3487,kerala,2019-12-01,272256.0,302709.0,GSTR-1
3488,kerala,2019-12-01,279158.0,302709.0,GSTR-3
3489,kerala,2020-01-01,154413.0,175450.0,GSTR-1
3490,kerala,2020-01-01,280569.0,301724.0,GSTR-3
3491,kerala,2020-02-01,154553.0,174499.0,GSTR-1
3492,kerala,2020-02-01,282136.0,302553.0,GSTR-3
3493,kerala,2020-03-01,271252.0,304085.0,GSTR-1
3494,kerala,2020-03-01,283339.0,304085.0,GSTR-3
3495,kerala,2020-04-01,173157.0,303334.0,GSTR-1
3496,kerala,2020-04-01,278166.0,303568.0,GSTR-3
3497,kerala,2020-05-01,173839.0,287028.0,GSTR-1
3498,puducherry,2019-01-01,10928.0,14203.0,GSTR-1
3499,kerala,2020-05-01,278450.0,301693.0,GSTR-3
3500,kerala,2020-06-01,271491.0,303033.0,GSTR-1
3501,kerala,2020-06-01,280344.0,303033.0,GSTR-3
3502,kerala,2020-07-01,176757.0,226941.0,GSTR-1
3503,kerala,2020-07-01,282428.0,305881.0,GSTR-3
3504,kerala,2020-08-01,179031.0,224663.0,GSTR-1
3505,puducherry,2019-05-01,11546.0,16070.0,GSTR-1
3506,kerala,2020-08-01,285755.0,309941.0,GSTR-3
3507,kerala,2020-09-01,278692.0,313197.0,GSTR-1
3508,kerala,2020-09-01,287911.0,313197.0,GSTR-3
3509,kerala,2020-10-01,183565.0,217708.0,GSTR-1
3510,kerala,2020-10-01,290851.0,316872.0,GSTR-3
3511,kerala,2020-11-01,186594.0,217966.0,GSTR-1
3512,andaman and nicobar islands,2017-08-01,1473.0,2208.0,GSTR-1
3513,kerala,2020-11-01,294536.0,319591.0,GSTR-3
3514,kerala,2020-12-01,288908.0,320883.0,GSTR-1
3515,kerala,2020-12-01,297668.0,320883.0,GSTR-3
3516,kerala,2021-01-01,211224.0,237287.0,GSTR-1
3517,kerala,2021-01-01,217880.0,237285.0,GSTR-3
3518,kerala,2021-02-01,213766.0,231690.0,GSTR-1
3519,kerala,2021-02-01,220328.0,231667.0,GSTR-3
3520,kerala,2021-03-01,296509.0,314391.0,GSTR-1
3521,kerala,2021-03-01,304410.0,314391.0,GSTR-3
3522,kerala,2021-04-01,237865.0,255053.0,GSTR-1
3523,kerala,2021-04-01,242899.0,255053.0,GSTR-3
3524,kerala,2021-05-01,237741.0,254802.0,GSTR-1
3525,puducherry,2020-04-01,12337.0,19641.0,GSTR-1
3526,kerala,2021-05-01,243037.0,254802.0,GSTR-3
3527,kerala,2021-06-01,295931.0,315837.0,GSTR-1
3528,kerala,2021-06-01,302169.0,315837.0,GSTR-3
3529,kerala,2021-07-01,239572.0,257348.0,GSTR-1
3530,kerala,2021-07-01,244161.0,257348.0,GSTR-3
3531,kerala,2021-08-01,241154.0,259512.0,GSTR-1
3532,puducherry,2020-08-01,12684.0,15724.0,GSTR-1
3533,kerala,2021-08-01,246161.0,259512.0,GSTR-3
3534,kerala,2021-09-01,300569.0,322067.0,GSTR-1
3535,kerala,2021-09-01,306816.0,322067.0,GSTR-3
3536,kerala,2021-10-01,243259.0,262041.0,GSTR-1
3537,kerala,2021-10-01,247972.0,262041.0,GSTR-3
3538,kerala,2021-11-01,245740.0,264607.0,GSTR-1
3539,andaman and nicobar islands,2017-08-01,2966.0,3574.0,GSTR-3
3540,kerala,2021-11-01,250066.0,264607.0,GSTR-3
3541,kerala,2021-12-01,306228.0,328683.0,GSTR-1
3542,kerala,2021-12-01,311756.0,328683.0,GSTR-3
3543,kerala,2022-01-01,247369.0,267796.0,GSTR-1
3544,kerala,2022-01-01,251470.0,267796.0,GSTR-3
3545,kerala,2022-02-01,248565.0,270158.0,GSTR-1
3546,ladakh,2018-04-01,,,GSTR-1
3547,kerala,2022-02-01,252756.0,270158.0,GSTR-3
3548,kerala,2022-03-01,304057.0,335514.0,GSTR-1
3549,kerala,2022-03-01,309507.0,335514.0,GSTR-3
3550,kerala,2022-04-01,242941.0,273479.0,GSTR-1
3551,kerala,2022-04-01,245728.0,273479.0,GSTR-3
3552,kerala,2022-05-01,236287.0,275367.0,GSTR-1
3553,puducherry,2021-07-01,16014.0,17743.0,GSTR-1
3554,kerala,2022-05-01,235250.0,275367.0,GSTR-3
3555,tamil nadu,2017-07-01,567411.0,624866.0,GSTR-1
3556,tamil nadu,2017-07-01,603425.0,624866.0,GSTR-3
3557,tamil nadu,2017-08-01,379403.0,436886.0,GSTR-1
3558,tamil nadu,2017-08-01,642933.0,673862.0,GSTR-3
3559,tamil nadu,2017-09-01,622475.0,700632.0,GSTR-1
3560,andaman and nicobar islands,2017-07-01,1893.0,2489.0,GSTR-1
3561,tamil nadu,2017-09-01,665366.0,700632.0,GSTR-3
3562,tamil nadu,2017-10-01,389540.0,444591.0,GSTR-1
3563,tamil nadu,2017-10-01,648743.0,688720.0,GSTR-3
3564,tamil nadu,2017-11-01,396184.0,452148.0,GSTR-1
3565,tamil nadu,2017-11-01,653014.0,702649.0,GSTR-3
3566,tamil nadu,2017-12-01,633356.0,712131.0,GSTR-1
3567,ladakh,2018-04-01,,,GSTR-3
3568,tamil nadu,2017-12-01,658111.0,712131.0,GSTR-3
3569,tamil nadu,2018-01-01,401412.0,463481.0,GSTR-1
3570,tamil nadu,2018-01-01,664552.0,722496.0,GSTR-3
3571,tamil nadu,2018-02-01,406530.0,472374.0,GSTR-1
3572,tamil nadu,2018-02-01,674618.0,737038.0,GSTR-3
3573,tamil nadu,2018-03-01,656507.0,750910.0,GSTR-1
3574,ladakh,2018-05-01,,,GSTR-1
3575,tamil nadu,2018-03-01,684653.0,750910.0,GSTR-3
3576,tamil nadu,2018-04-01,450283.0,613309.0,GSTR-1
3577,tamil nadu,2018-04-01,690460.0,812490.0,GSTR-3
3578,tamil nadu,2018-05-01,456782.0,630477.0,GSTR-1
3579,tamil nadu,2018-05-01,701083.0,835051.0,GSTR-3
3580,tamil nadu,2018-06-01,682587.0,852643.0,GSTR-1
3581,ladakh,2018-05-01,,,GSTR-3
3582,tamil nadu,2018-06-01,709307.0,852643.0,GSTR-3
3583,tamil nadu,2018-07-01,466997.0,651946.0,GSTR-1
3584,tamil nadu,2018-07-01,718785.0,868359.0,GSTR-3
3585,tamil nadu,2018-08-01,471011.0,654087.0,GSTR-1
3586,tamil nadu,2018-08-01,727060.0,879806.0,GSTR-3
3587,tamil nadu,2018-09-01,705894.0,882248.0,GSTR-1
3588,ladakh,2018-06-01,,,GSTR-1
3589,tamil nadu,2018-09-01,734793.0,882248.0,GSTR-3
3590,tamil nadu,2018-10-01,479336.0,638043.0,GSTR-1
3591,tamil nadu,2018-10-01,742580.0,877145.0,GSTR-3
3592,tamil nadu,2018-11-01,480844.0,632207.0,GSTR-1
3593,tamil nadu,2018-11-01,741190.0,875890.0,GSTR-3
3594,tamil nadu,2018-12-01,720996.0,865402.0,GSTR-1
3595,ladakh,2018-06-01,,,GSTR-3
3596,tamil nadu,2018-12-01,747469.0,865402.0,GSTR-3
3597,tamil nadu,2019-01-01,487665.0,609881.0,GSTR-1
3598,tamil nadu,2019-01-01,752288.0,863602.0,GSTR-3
3599,tamil nadu,2019-02-01,489987.0,594974.0,GSTR-1
3600,tamil nadu,2019-02-01,759086.0,853803.0,GSTR-3
3601,tamil nadu,2019-03-01,733537.0,867754.0,GSTR-1
3602,ladakh,2018-07-01,,,GSTR-1
3603,tamil nadu,2019-03-01,766275.0,867754.0,GSTR-3
3604,tamil nadu,2019-04-01,518327.0,681342.0,GSTR-1
3605,tamil nadu,2019-04-01,762625.0,876798.0,GSTR-3
3606,tamil nadu,2019-05-01,521310.0,679109.0,GSTR-1
3607,tamil nadu,2019-05-01,767893.0,885438.0,GSTR-3
3608,tamil nadu,2019-06-01,748834.0,894344.0,GSTR-1
3609,ladakh,2018-07-01,,,GSTR-3
3610,tamil nadu,2019-06-01,772383.0,894344.0,GSTR-3
3611,tamil nadu,2019-07-01,528443.0,670695.0,GSTR-1
3612,tamil nadu,2019-07-01,779189.0,899235.0,GSTR-3
3613,tamil nadu,2019-08-01,532379.0,664170.0,GSTR-1
3614,tamil nadu,2019-08-01,785208.0,900188.0,GSTR-3
3615,tamil nadu,2019-09-01,765589.0,900385.0,GSTR-1
3616,ladakh,2018-08-01,,,GSTR-1
3617,tamil nadu,2019-09-01,789780.0,900385.0,GSTR-3
3618,tamil nadu,2019-10-01,539493.0,654051.0,GSTR-1
3619,tamil nadu,2019-10-01,795636.0,896586.0,GSTR-3
3620,tamil nadu,2019-11-01,544732.0,640748.0,GSTR-1
3621,tamil nadu,2019-11-01,801449.0,888836.0,GSTR-3
3622,tamil nadu,2019-12-01,782470.0,877850.0,GSTR-1
3623,ladakh,2018-08-01,,,GSTR-3
3624,tamil nadu,2019-12-01,809084.0,877850.0,GSTR-3
3625,tamil nadu,2020-01-01,550997.0,620078.0,GSTR-1
3626,tamil nadu,2020-01-01,813291.0,870770.0,GSTR-3
3627,tamil nadu,2020-02-01,552291.0,613352.0,GSTR-1
3628,tamil nadu,2020-02-01,819734.0,867846.0,GSTR-3
3629,tamil nadu,2020-03-01,779057.0,876639.0,GSTR-1
3630,ladakh,2018-09-01,,,GSTR-1
3631,tamil nadu,2020-03-01,822552.0,876639.0,GSTR-3
3632,tamil nadu,2020-04-01,585419.0,875149.0,GSTR-1
3633,tamil nadu,2020-04-01,810719.0,875836.0,GSTR-3
3634,tamil nadu,2020-05-01,589772.0,834053.0,GSTR-1
3635,tamil nadu,2020-05-01,811719.0,872102.0,GSTR-3
3636,tamil nadu,2020-06-01,783115.0,879453.0,GSTR-1
3637,ladakh,2018-09-01,,,GSTR-3
3638,tamil nadu,2020-06-01,816737.0,879453.0,GSTR-3
3639,tamil nadu,2020-07-01,602054.0,738453.0,GSTR-1
3640,tamil nadu,2020-07-01,828131.0,900135.0,GSTR-3
3641,tamil nadu,2020-08-01,607538.0,740008.0,GSTR-1
3642,tamil nadu,2020-08-01,835909.0,916182.0,GSTR-3
3643,tamil nadu,2020-09-01,807153.0,928683.0,GSTR-1
3644,ladakh,2018-10-01,,,GSTR-1
3645,tamil nadu,2020-09-01,841493.0,928683.0,GSTR-3
3646,tamil nadu,2020-10-01,619775.0,734303.0,GSTR-1
3647,tamil nadu,2020-10-01,849700.0,933135.0,GSTR-3
3648,tamil nadu,2020-11-01,627460.0,728636.0,GSTR-1
3649,tamil nadu,2020-11-01,857330.0,933314.0,GSTR-3
3650,tamil nadu,2020-12-01,836125.0,923873.0,GSTR-1
3651,ladakh,2018-10-01,,,GSTR-3
