Country,State,State LGD Code,Year,Month,Settlement of Integrated goods and services tax ( IGST )_avg,Settlement of Integrated goods and services tax ( IGST )_max,Settlement of Integrated goods and services tax ( IGST )_min,Settlement of Integrated goods and services tax ( IGST )_sum,Settlement of Integrated goods and services tax ( IGST )_count,Settlement of Integrated goods and services tax ( IGST )_stddev,Settlement of Integrated goods and services tax ( IGST )_LandAreaWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationWeight,Settlement of Integrated goods and services tax ( IGST )_NumberOfHouseholdsWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationMaleWeight,Settlement of Integrated goods and services tax ( IGST )_TotalPopulationFemaleWeight
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","September, 2018",102.9907702,102.9907702,102.9907702,102.9907702,1,,102.991,102.991,102.991,102.991,102.991
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","October, 2018",94.861841,94.861841,94.861841,94.861841,1,,94.862,94.862,94.862,94.862,94.862
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","November, 2018",124.6440379,124.6440379,124.6440379,124.6440379,1,,124.644,124.644,124.644,124.644,124.644
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2018","December, 2018",115.7950392,115.7950392,115.7950392,115.7950392,1,,115.795,115.795,115.795,115.795,115.795
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","January, 2019",104.6438089,104.6438089,104.6438089,104.6438089,1,,104.644,104.644,104.644,104.644,104.644
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","February, 2019",100.176648125,100.176648125,100.176648125,100.176648125,1,,100.177,100.177,100.177,100.177,100.177
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","March, 2019",91.0478619,91.0478619,91.0478619,91.0478619,1,,91.048,91.048,91.048,91.048,91.048
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","April, 2019",115.6907851,115.6907851,115.6907851,115.6907851,1,,115.691,115.691,115.691,115.691,115.691
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","May, 2019",129.4196465,129.4196465,129.4196465,129.4196465,1,,129.42,129.42,129.42,129.42,129.42
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","June, 2019",137.0526634,137.0526634,137.0526634,137.0526634,1,,137.053,137.053,137.053,137.053,137.053
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","July, 2019",155.9223141,155.9223141,155.9223141,155.9223141,1,,155.922,155.922,155.922,155.922,155.922
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","August, 2019",123.6053124449,123.6053124449,123.6053124449,123.6053124449,1,,123.605,123.605,123.605,123.605,123.605
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","September, 2019",156.2582484,156.2582484,156.2582484,156.2582484,1,,156.258,156.258,156.258,156.258,156.258
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","October, 2019",112.3441054,112.3441054,112.3441054,112.3441054,1,,112.344,112.344,112.344,112.344,112.344
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","November, 2019",181.1541832,181.1541832,181.1541832,181.1541832,1,,181.154,181.154,181.154,181.154,181.154
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2019","December, 2019",149.0,149.0,149.0,149.0,1,,149.0,149.0,149.0,149.0,149.0
India,Himachal Pradesh,2,"Calendar Year (Jan - Dec), 2020","January, 2020",140.0,140.0,140.0,140.0,1,,140.0,140.0,140.0,140.0,140.0
